wind_speed,clouds,day,month,condition_main,condition_description,condition_icon,average_feel,expected_percipitation,pop,zip_code
10.31,0,19,7,Clear,clear sky,01d,63.5975,0.0,0.0,98087
9.1,97,20,7,Rain,light rain,10d,58.7975,0.0312,24.0,98087
10.58,56,21,7,Clouds,broken clouds,04d,57.8625,0.0,0.0,98087
9.42,0,22,7,Clear,clear sky,01d,57.582499999999996,0.0,0.0,98087
8.61,0,23,7,Clear,clear sky,01d,58.975,0.0,0.0,98087
9.19,0,24,7,Clear,clear sky,01d,62.995,0.0,0.0,98087
10.33,2,25,7,Clear,clear sky,01d,61.6825,0.0,0.0,98087
8.39,0,26,7,Clear,clear sky,01d,59.3425,0.0,0.0,98087
10.29,0,19,7,Clear,clear sky,01d,65.9925,0.0,0.0,98077
8.86,58,20,7,Clouds,broken clouds,04d,61.4375,0.0,4.0,98077
10.29,55,21,7,Clouds,broken clouds,04d,59.1175,0.0,0.0,98077
9.26,0,22,7,Clear,clear sky,01d,59.777499999999996,0.0,0.0,98077
8.21,0,23,7,Clear,clear sky,01d,62.4525,0.0,0.0,98077
8.57,0,24,7,Clear,clear sky,01d,66.49249999999999,0.0,0.0,98077
10.67,1,25,7,Clear,clear sky,01d,64.6975,0.0,0.0,98077
8.77,1,26,7,Clear,clear sky,01d,61.395,0.0,0.0,98077
10.27,1,19,7,Clear,clear sky,01d,69.0625,0.0,0.0,98391
7.78,22,20,7,Clouds,few clouds,02d,63.96,0.0,3.0,98391
10.58,18,21,7,Clouds,few clouds,02d,60.56,0.0,0.0,98391
9.42,6,22,7,Clear,clear sky,01d,61.7325,0.0,0.0,98391
8.93,0,23,7,Clear,clear sky,01d,65.67,0.0,0.0,98391
8.59,0,24,7,Clear,clear sky,01d,70.2575,0.0,0.0,98391
6.53,3,25,7,Clear,clear sky,01d,67.345,0.0,0.0,98391
4.99,51,26,7,Clouds,broken clouds,04d,64.73750000000001,0.0,0.0,98391
10.98,28,19,7,Clouds,scattered clouds,03d,84.7525,0.0,0.0,99354
12.44,3,20,7,Clear,clear sky,01d,80.7225,0.0,0.0,99354
17.9,0,21,7,Clear,clear sky,01d,75.695,0.0,0.0,99354
5.84,0,22,7,Clear,clear sky,01d,75.3125,0.0,0.0,99354
4.32,0,23,7,Clear,clear sky,01d,79.885,0.0,0.0,99354
3.33,0,24,7,Clear,clear sky,01d,84.255,0.0,0.0,99354
16.2,25,25,7,Clouds,scattered clouds,03d,83.4675,0.0,0.0,99354
14.36,100,26,7,Clouds,overcast clouds,04d,79.14500000000001,0.0,0.0,99354
7.02,12,19,7,Clouds,few clouds,02d,69.245,0.0,0.0,98359
4.9,84,20,7,Clouds,broken clouds,04d,63.8025,0.0,4.0,98359
4.74,68,21,7,Clouds,broken clouds,04d,60.855000000000004,0.0,0.0,98359
8.93,0,22,7,Clear,clear sky,01d,62.815000000000005,0.0,0.0,98359
8.43,0,23,7,Clear,clear sky,01d,66.27499999999999,0.0,0.0,98359
7.78,0,24,7,Clear,clear sky,01d,70.20750000000001,0.0,0.0,98359
5.37,17,25,7,Clouds,few clouds,02d,67.1425,0.0,0.0,98359
4.79,7,26,7,Clear,clear sky,01d,65.2675,0.0,0.0,98359
7.49,60,19,7,Clouds,broken clouds,04d,79.8975,0.0,0.0,99217
10.58,93,20,7,Rain,light rain,10d,75.475,0.5074,59.0,99217
11.56,14,21,7,Rain,light rain,10d,72.35,0.1071,51.0,99217
9.28,1,22,7,Clear,clear sky,01d,68.1575,0.0,0.0,99217
9.6,3,23,7,Clear,clear sky,01d,72.88,0.0,0.0,99217
3.27,0,24,7,Clear,clear sky,01d,76.815,0.0,0.0,99217
12.97,0,25,7,Clear,clear sky,01d,78.7025,0.0,0.0,99217
10.87,16,26,7,Clouds,few clouds,02d,74.215,0.0,0.0,99217
10.76,0,19,7,Clear,clear sky,01d,66.1725,0.0,0.0,98589
9.95,43,20,7,Clouds,scattered clouds,03d,61.43,0.0,0.0,98589
10.45,41,21,7,Clouds,scattered clouds,03d,59.1975,0.0,0.0,98589
5.7,14,22,7,Clouds,few clouds,02d,61.9625,0.0,0.0,98589
6.06,0,23,7,Clear,clear sky,01d,65.3575,0.0,0.0,98589
6.98,0,24,7,Clear,clear sky,01d,69.31,0.0,0.0,98589
9.98,4,25,7,Clear,clear sky,01d,63.7975,0.0,0.0,98589
9.19,49,26,7,Clouds,scattered clouds,03d,60.9025,0.0,0.0,98589
9.26,0,19,7,Clear,clear sky,01d,67.6325,0.0,0.0,98052
8.05,65,20,7,Clouds,broken clouds,04d,63.0225,0.0,4.0,98052
9.4,57,21,7,Clouds,broken clouds,04d,60.775,0.0,0.0,98052
9.48,0,22,7,Clear,clear sky,01d,61.075,0.0,0.0,98052
8.52,0,23,7,Clear,clear sky,01d,63.9925,0.0,0.0,98052
8.84,0,24,7,Clear,clear sky,01d,68.00500000000001,0.0,0.0,98052
9.01,0,25,7,Clear,clear sky,01d,65.8175,0.0,0.0,98052
7.85,7,26,7,Clear,clear sky,01d,63.402499999999996,0.0,0.0,98052
10.51,0,19,7,Clear,clear sky,01d,65.4625,0.0,0.0,98021
8.9,92,20,7,Rain,light rain,10d,60.989999999999995,0.0264,24.0,98021
